Age,Country,Streaming Platform,Top Genre,Minutes Streamed Per Day,Number of Songs Liked,Most Played Artist,Subscription Type
28,Australia,Amazon Music,Pop,10,30,Post Malone,Premium
38,UK,Tidal,R&B,134,434,Billie Eilish,Premium
21,Australia,Amazon Music,Country,551,421,Ed Sheeran,Free
25,UK,Tidal,Reggae,369,477,Drake,Premium
42,Australia,Deezer,Pop,372,267,Drake,Free
57,Brazil,Apple Music,R&B,376,334,Dua Lipa,Premium
40,India,Tidal,R&B,450,309,BTS,Free
51,France,Apple Music,Metal,116,150,The Weeknd,Premium
22,South Korea,Amazon Music,Hip-Hop,372,168,Billie Eilish,Free
58,USA,Amazon Music,EDM,180,258,Adele,Premium
45,France,Apple Music,Reggae,580,127,Adele,Premium
43,Canada,Tidal,Hip-Hop,435,314,Drake,Free
17,South Korea,Tidal,Jazz,250,111,Billie Eilish,Premium
36,Canada,Tidal,Metal,226,347,Bad Bunny,Free
14,UK,Amazon Music,Country,51,424,Bad Bunny,Free
53,Japan,Spotify,R&B,406,169,Taylor Swift,Free
21,Canada,Tidal,Metal,317,268,The Weeknd,Premium
33,South Korea,Tidal,EDM,459,262,Taylor Swift,Premium
54,Australia,Deezer,Country,440,448,Ed Sheeran,Premium
18,UK,Deezer,Hip-Hop,570,246,Taylor Swift,Premium
36,Germany,Tidal,Rock,373,246,Ed Sheeran,Free
25,Canada,Spotify,EDM,183,179,Billie Eilish,Premium
15,USA,YouTube,Hip-Hop,139,239,Dua Lipa,Premium
21,Germany,Deezer,R&B,530,270,Billie Eilish,Free
39,South Korea,Amazon Music,EDM,272,277,The Weeknd,Premium
18,South Korea,Amazon Music,Metal,345,479,Drake,Premium
36,Japan,Spotify,Country,440,271,BTS,Free
24,Germany,Tidal,Reggae,440,294,Bad Bunny,Premium
51,Japan,YouTube,Reggae,385,414,Taylor Swift,Free
26,France,Apple Music,Classical,396,217,Dua Lipa,Premium
13,France,Tidal,Jazz,224,381,Taylor Swift,Free
41,Germany,YouTube,Jazz,223,15,Drake,Premium
21,Japan,Spotify,Pop,46,165,Adele,Premium
59,Canada,Tidal,Reggae,39,337,Taylor Swift,Free
55,Australia,Deezer,EDM,296,272,Post Malone,Premium
52,India,Spotify,Classical,139,228,BTS,Free
48,USA,Spotify,Reggae,163,378,Post Malone,Premium
31,France,Spotify,Jazz,590,195,Post Malone,Free
49,Germany,Amazon Music,Metal,526,71,The Weeknd,Premium
41,Brazil,Amazon Music,Pop,99,92,Adele,Premium
38,UK,Spotify,Hip-Hop,279,454,Post Malone,Premium
42,Germany,YouTube,Country,335,29,Bad Bunny,Free
40,Australia,Spotify,R&B,118,212,The Weeknd,Premium
29,Brazil,YouTube,Metal,519,396,Drake,Free
42,Brazil,YouTube,Rock,555,251,The Weeknd,Premium
18,USA,YouTube,Reggae,361,45,Adele,Free
34,UK,Spotify,Jazz,194,339,BTS,Free
37,USA,Deezer,Metal,143,379,Drake,Free
16,South Korea,Apple Music,Country,229,380,Post Malone,Free
42,Brazil,YouTube,Pop,35,115,Dua Lipa,Premium
21,India,YouTube,Pop,557,232,Adele,Free
42,Canada,Spotify,Reggae,465,154,Drake,Premium
16,South Korea,Deezer,EDM,233,295,Bad Bunny,Free
42,Germany,Deezer,Reggae,563,59,BTS,Premium
40,South Korea,Tidal,EDM,224,101,Post Malone,Free
24,USA,Spotify,EDM,223,46,The Weeknd,Premium
35,South Korea,Spotify,EDM,36,125,Post Malone,Free
18,USA,Amazon Music,Reggae,493,417,Bad Bunny,Premium
28,Germany,Amazon Music,R&B,588,162,Ed Sheeran,Free
41,Australia,Deezer,EDM,406,469,Taylor Swift,Free
44,South Korea,Tidal,Pop,597,5,Adele,Free
21,India,Spotify,Metal,54,268,Billie Eilish,Free
22,Germany,YouTube,EDM,574,112,The Weeknd,Free
43,France,Apple Music,EDM,236,263,Dua Lipa,Premium
36,UK,Apple Music,Rock,279,99,Adele,Premium
40,Australia,Apple Music,Rock,481,320,The Weeknd,Premium
25,USA,Apple Music,Jazz,219,203,Ed Sheeran,Premium
59,Brazil,Apple Music,Pop,600,179,Post Malone,Premium
48,Australia,Apple Music,EDM,77,123,Post Malone,Free
24,USA,Amazon Music,Jazz,255,188,Bad Bunny,Free
52,France,YouTube,EDM,490,234,The Weeknd,Free
49,Brazil,Deezer,Pop,548,48,Post Malone,Free
49,Japan,Amazon Music,Country,233,481,Taylor Swift,Free
37,UK,Deezer,Classical,299,112,Adele,Premium
33,Canada,Tidal,R&B,224,259,Billie Eilish,Premium
53,USA,Tidal,Reggae,514,377,Taylor Swift,Free
22,Canada,YouTube,Reggae,239,349,Post Malone,Premium
60,South Korea,Apple Music,EDM,328,99,BTS,Free
35,Canada,YouTube,Metal,202,435,Bad Bunny,Free
41,Australia,Tidal,Pop,284,148,The Weeknd,Free
56,India,Deezer,Hip-Hop,580,228,Drake,Free
55,USA,YouTube,Pop,32,155,The Weeknd,Premium
32,South Korea,Deezer,Rock,409,333,BTS,Premium
39,USA,Apple Music,Country,342,437,BTS,Premium
50,Germany,Spotify,Hip-Hop,349,480,The Weeknd,Free
59,South Korea,Amazon Music,Reggae,311,428,BTS,Premium
52,Australia,Tidal,Rock,281,103,Dua Lipa,Premium
32,USA,Tidal,Metal,320,107,Ed Sheeran,Premium
36,France,YouTube,Metal,21,108,Adele,Premium
37,Brazil,Spotify,R&B,407,267,Dua Lipa,Premium
13,South Korea,Deezer,Classical,446,256,Ed Sheeran,Free
27,South Korea,Tidal,Pop,369,348,Bad Bunny,Free
58,France,Tidal,Reggae,591,102,Billie Eilish,Premium
21,France,Tidal,Hip-Hop,389,479,Bad Bunny,Free
58,Japan,Tidal,EDM,364,464,Billie Eilish,Premium
32,UK,Deezer,EDM,41,349,The Weeknd,Free
21,Germany,Deezer,Rock,301,8,Billie Eilish,Free
40,Canada,YouTube,Pop,252,310,The Weeknd,Premium
49,Brazil,Tidal,Country,168,364,Bad Bunny,Premium
46,France,YouTube,Reggae,415,262,The Weeknd,Premium
21,Japan,Deezer,Classical,437,384,Bad Bunny,Free
51,Germany,Amazon Music,Reggae,27,375,Drake,Premium
16,USA,Amazon Music,Country,564,131,Dua Lipa,Free
40,UK,Amazon Music,Metal,149,50,Taylor Swift,Premium
14,Japan,YouTube,R&B,117,433,Bad Bunny,Free
26,South Korea,Apple Music,Classical,10,143,Ed Sheeran,Free
52,USA,Deezer,Hip-Hop,200,44,Billie Eilish,Premium
48,USA,Spotify,Rock,542,274,Bad Bunny,Premium
58,India,YouTube,Jazz,164,354,Drake,Premium
46,France,Tidal,Classical,422,129,Post Malone,Free
31,Australia,Tidal,Pop,328,237,Ed Sheeran,Premium
23,India,Spotify,Reggae,289,491,Bad Bunny,Premium
39,India,Tidal,R&B,332,166,Post Malone,Premium
13,France,Deezer,Rock,281,333,Drake,Free
25,Australia,Apple Music,Classical,312,170,BTS,Free
44,Australia,Tidal,Pop,559,280,Post Malone,Free
56,Brazil,Spotify,Classical,475,201,Bad Bunny,Free
16,India,YouTube,EDM,397,417,Billie Eilish,Free
14,UK,Spotify,Classical,268,312,Drake,Premium
48,Australia,Amazon Music,Metal,189,214,Drake,Free
45,France,Tidal,Metal,438,35,Post Malone,Premium
22,Brazil,Deezer,Metal,201,396,Drake,Premium
16,USA,Deezer,EDM,514,49,The Weeknd,Free
28,Brazil,Deezer,Pop,83,435,Billie Eilish,Free
49,South Korea,Spotify,Classical,504,445,The Weeknd,Free
23,India,Apple Music,Jazz,242,62,Ed Sheeran,Free
36,Japan,Spotify,R&B,525,277,Bad Bunny,Premium
49,Australia,Tidal,EDM,292,53,Ed Sheeran,Free
35,USA,Tidal,EDM,157,3,Taylor Swift,Free
43,France,Spotify,EDM,160,111,Post Malone,Premium
41,South Korea,Deezer,Metal,207,356,Billie Eilish,Premium
36,Japan,YouTube,Country,47,190,Drake,Premium
24,France,Apple Music,EDM,565,389,Bad Bunny,Free
19,South Korea,Deezer,Metal,484,204,Post Malone,Premium
59,USA,Spotify,Reggae,394,231,Dua Lipa,Free
60,UK,Amazon Music,R&B,405,322,Taylor Swift,Premium
35,India,Deezer,Rock,287,461,Bad Bunny,Free
34,USA,Tidal,R&B,14,50,Drake,Free
20,Brazil,Deezer,Classical,541,106,Adele,Free
21,Canada,Deezer,Pop,258,388,Ed Sheeran,Free
58,Canada,Apple Music,Pop,234,456,Ed Sheeran,Premium
46,Germany,Spotify,Country,365,123,Drake,Free
43,UK,Apple Music,Reggae,98,213,Adele,Free
22,UK,Amazon Music,Rock,47,322,Adele,Free
28,UK,Deezer,Reggae,396,378,Bad Bunny,Free
20,Australia,Tidal,Reggae,109,132,BTS,Free
23,Australia,Deezer,Reggae,356,253,Dua Lipa,Premium
42,Brazil,Spotify,Pop,352,424,The Weeknd,Premium
21,India,Amazon Music,EDM,218,27,Bad Bunny,Premium
26,UK,Apple Music,Country,300,236,Ed Sheeran,Free
44,UK,Deezer,R&B,468,274,Billie Eilish,Free
15,Japan,Deezer,EDM,52,490,The Weeknd,Free
47,UK,Amazon Music,Rock,352,79,Adele,Premium
60,Germany,Amazon Music,Jazz,392,36,Dua Lipa,Premium
52,Germany,Tidal,Pop,159,415,Billie Eilish,Premium
42,India,Apple Music,Hip-Hop,299,245,Taylor Swift,Premium
16,USA,Deezer,Metal,256,416,BTS,Premium
35,UK,YouTube,Hip-Hop,212,307,Taylor Swift,Free
57,France,Amazon Music,Hip-Hop,181,233,Dua Lipa,Free
25,South Korea,Deezer,Classical,315,114,Adele,Premium
13,India,YouTube,Hip-Hop,421,493,The Weeknd,Premium
17,Brazil,Deezer,Reggae,260,463,Drake,Premium
49,India,Tidal,Reggae,189,351,Post Malone,Free
32,India,Deezer,Country,257,482,Billie Eilish,Free
44,Brazil,YouTube,Pop,39,320,Billie Eilish,Premium
49,Germany,Tidal,EDM,465,125,Taylor Swift,Premium
56,UK,YouTube,Classical,460,267,Drake,Premium
22,Japan,YouTube,Reggae,356,92,Taylor Swift,Free
47,France,Spotify,Metal,468,141,Ed Sheeran,Premium
49,UK,Apple Music,Jazz,262,5,Post Malone,Premium
19,Canada,Tidal,EDM,563,452,Dua Lipa,Premium
41,UK,Spotify,Reggae,260,107,Drake,Premium
56,France,Amazon Music,Rock,263,472,Ed Sheeran,Free
28,Germany,Deezer,Classical,484,85,Dua Lipa,Premium
56,Brazil,Deezer,R&B,60,129,Bad Bunny,Free
30,Japan,Tidal,Country,504,249,Ed Sheeran,Premium
29,South Korea,Spotify,Classical,169,293,Dua Lipa,Premium
58,Japan,YouTube,Hip-Hop,62,20,BTS,Premium
49,France,YouTube,Metal,375,300,BTS,Free
23,Japan,Tidal,Country,174,56,The Weeknd,Premium
45,Japan,Apple Music,Metal,168,243,The Weeknd,Premium
37,Germany,Apple Music,Metal,29,153,Dua Lipa,Free
38,Australia,Apple Music,Hip-Hop,531,431,Billie Eilish,Free
43,USA,Spotify,Country,259,99,BTS,Free
54,UK,Deezer,Classical,31,320,Adele,Premium
51,India,Apple Music,Rock,389,345,Post Malone,Premium
28,UK,YouTube,Pop,530,168,Dua Lipa,Free
19,UK,Spotify,R&B,557,184,Dua Lipa,Free
34,South Korea,YouTube,Country,581,41,The Weeknd,Free
51,Germany,Tidal,Jazz,282,143,Ed Sheeran,Premium
53,Canada,Amazon Music,Rock,533,78,Bad Bunny,Free
25,USA,Tidal,Reggae,271,183,BTS,Free
38,Brazil,YouTube,Rock,208,468,Ed Sheeran,Free
26,South Korea,Apple Music,Country,490,153,Post Malone,Premium
59,South Korea,Amazon Music,Metal,463,208,Billie Eilish,Free
27,Germany,Tidal,Hip-Hop,164,267,Post Malone,Premium
55,India,Amazon Music,Metal,126,238,Adele,Premium
40,Germany,Spotify,Hip-Hop,573,133,Bad Bunny,Premium
50,France,Spotify,Jazz,391,399,The Weeknd,Premium
22,Canada,Deezer,Jazz,219,471,Dua Lipa,Premium
51,Brazil,Apple Music,Hip-Hop,184,298,Taylor Swift,Premium
42,Brazil,Tidal,Rock,319,304,Bad Bunny,Free
55,South Korea,Amazon Music,R&B,221,193,Ed Sheeran,Free
34,Japan,Apple Music,Hip-Hop,545,104,The Weeknd,Premium
20,Canada,Spotify,Jazz,313,402,Bad Bunny,Premium
48,UK,Deezer,Reggae,460,243,Taylor Swift,Premium
27,USA,Spotify,Jazz,452,281,Adele,Premium
23,Canada,YouTube,R&B,295,369,Dua Lipa,Premium
34,Australia,YouTube,EDM,56,327,Taylor Swift,Free
27,India,Deezer,Hip-Hop,55,138,Post Malone,Free
45,France,Spotify,EDM,534,63,Bad Bunny,Free
52,South Korea,YouTube,Reggae,108,110,Ed Sheeran,Premium
15,UK,Amazon Music,EDM,551,405,BTS,Free
46,USA,Deezer,EDM,444,18,The Weeknd,Free
59,Japan,Spotify,Jazz,44,329,Dua Lipa,Free
43,Brazil,Spotify,Country,334,93,Drake,Premium
15,Australia,YouTube,Reggae,419,31,BTS,Free
22,Australia,YouTube,EDM,369,352,Taylor Swift,Free
45,Australia,Deezer,Rock,525,72,Adele,Premium
59,India,Deezer,EDM,468,98,Ed Sheeran,Free
52,Brazil,Spotify,Country,495,88,Dua Lipa,Free
16,South Korea,Amazon Music,Classical,433,433,Billie Eilish,Premium
29,Germany,Deezer,Pop,437,168,Billie Eilish,Free
36,USA,Spotify,Hip-Hop,237,226,Bad Bunny,Free
34,USA,YouTube,Jazz,22,158,Ed Sheeran,Free
42,Germany,Apple Music,Reggae,319,178,Billie Eilish,Free
36,India,Deezer,Pop,384,248,Bad Bunny,Premium
54,Canada,YouTube,Reggae,245,410,Billie Eilish,Premium
31,Australia,Spotify,Pop,422,314,Dua Lipa,Premium
57,Canada,YouTube,Classical,223,14,The Weeknd,Free
14,Japan,Apple Music,R&B,67,493,Billie Eilish,Free
28,Australia,YouTube,Pop,270,107,Post Malone,Premium
35,Germany,YouTube,R&B,210,55,Dua Lipa,Premium
34,Japan,Spotify,EDM,269,114,Taylor Swift,Free
30,Canada,YouTube,Hip-Hop,127,495,Ed Sheeran,Free
21,France,Amazon Music,R&B,385,479,Billie Eilish,Free
51,Canada,Apple Music,R&B,143,39,Post Malone,Premium
29,UK,Apple Music,Jazz,311,367,Post Malone,Free
51,Japan,Deezer,Metal,93,65,Drake,Free
57,Germany,Amazon Music,EDM,477,111,Ed Sheeran,Free
19,UK,Deezer,R&B,415,175,The Weeknd,Free
38,France,Spotify,Metal,333,10,Drake,Free
46,USA,Deezer,Jazz,456,25,BTS,Premium
55,USA,Amazon Music,Rock,532,431,Billie Eilish,Premium
33,Australia,Apple Music,Rock,69,87,Bad Bunny,Free
57,UK,Spotify,EDM,188,2,BTS,Free
31,USA,YouTube,Country,99,75,Bad Bunny,Premium
47,Australia,YouTube,Hip-Hop,441,354,Ed Sheeran,Premium
40,France,Apple Music,Rock,437,331,Taylor Swift,Free
34,India,Tidal,Rock,447,160,Ed Sheeran,Premium
49,India,Amazon Music,Reggae,518,7,Billie Eilish,Premium
27,South Korea,Tidal,Hip-Hop,391,429,Taylor Swift,Premium
58,Canada,Tidal,Reggae,219,170,Bad Bunny,Free
23,USA,Deezer,Reggae,410,363,Billie Eilish,Premium
51,India,Amazon Music,Rock,441,80,BTS,Free
22,Japan,YouTube,Metal,323,307,Billie Eilish,Premium
27,South Korea,Spotify,Country,202,127,Ed Sheeran,Free
18,Canada,Amazon Music,Metal,541,255,Billie Eilish,Premium
29,Japan,Spotify,Jazz,187,418,Bad Bunny,Free
31,Germany,Apple Music,Hip-Hop,572,124,The Weeknd,Premium
38,Japan,Amazon Music,R&B,44,286,BTS,Free
28,Japan,Spotify,Jazz,184,236,Post Malone,Premium
29,Canada,Apple Music,R&B,429,477,Taylor Swift,Free
